Тип	Кадастровый номер	Адрес	Площадь	Кадастровая стоимость
однокомнатная квартира	59:01:4410135:69	г Пермь, ул Луначарского, д. 95а, 7	31.5 кв.м.	1 794 826 руб.
нежилое помещение	59:01:4410135:129	г Пермь, ул Луначарского, д. 95а	31.7 кв.м.	140 973 руб.
однокомнатная квартира	59:01:4410135:26	г Пермь, ул Луначарского, д. 95а, 15	32.4 кв.м.	1 832 380 руб.
квартира	59:01:4410135:128	г Пермь, ул Луначарского, д. 95а, 40	31.9 кв.м.	1 417 910 руб.
участок	59:01:4410135:16	г Пермь, ул Луначарского, д. 95а	51 кв.м.	904 926 руб.
встроенные помещения	59:01:4410135:140	г Пермь, ул Луначарского, д. 95а	84.1 кв.м.	374 001 руб.
нежилое помещение	59:01:4410135:85	г Пермь, ул Луначарского, д. 95а	145.5 кв.м.	647 053 руб.
двухкомнатная квартира	59:01:4410135:63	г Пермь, ул Луначарского, д. 95а, 56	42.6 кв.м.	2 228 030 руб.
кабельная линия электропередач	59:01:4410137:96	г Пермь, ул Луначарского, д. 95а	0 кв.м.	89 732 руб.
встроенные помещения	59:01:4410135:108	г Пермь, ул Луначарского, д. 95а	81 кв.м.	3 390 640 руб.
хозяйственное строение	59:01:4410135:153	г Пермь, ул Луначарского, д. 95а	91.3 кв.м.	1 637 452 руб.
участок	59:01:4410135:10	г Пермь, ул Луначарского, д. 95а	2649.8 кв.м.	25 522 317 руб.
гараж-бокс	59:01:4410135:126	г Пермь, ул Луначарского, д. 95а, 2	24.2 кв.м.	107 620 руб.
	59:01:4410135:32	г Пермь, ул Луначарского, д. 95а	41.1 кв.м.	182 776 руб.
индивидуальный гараж (бокс)	59:01:4410135:106	г Пермь, ул Луначарского, д. 95а	24.2 кв.м.	206 183 руб.
	59:01:4410135:154	г Пермь, ул Луначарского, д. 95а	71.6 кв.м.	318 412 руб.
нежилое помещение	59:01:4410135:103	г Пермь, ул Луначарского, д. 95а, 1	43.6 кв.м.	146 158 руб.
индивидуальный гараж	59:01:4410135:105	г Пермь, ул Луначарского, д. 95а	39.6 кв.м.	337 390 руб.
нежилое помещение	59:01:4418023:142	г Пермь, ул Луначарского, д. 62б	180.1 кв.м.	514 845 руб.
однокомнатная квартира	59:01:4418023:58	г Пермь, ул Луначарского, д. 62б, 50	36.6 кв.м.	1 775 441 руб.
нежилое помещение	59:01:4418023:187	г Пермь, ул Луначарского, д. 62б	86.6 кв.м.	712 063 руб.
двухкомнатная  квартира	59:01:4418023:51	г Пермь, ул Луначарского, д. 62б, 42	56.3 кв.м.	2 726 053 руб.
квартира 	59:01:4418023:48	г Пермь, ул Луначарского, д. 62б, 4	74.8 кв.м.	3 637 426 руб.
здание	59:01:4418023:144	г Пермь, ул Луначарского, д. 62б	0 кв.м.	0 руб.
однокомнатная квартира	59:01:4418023:37	г Пермь, ул Луначарского, д. 62б, 26	37.7 кв.м.	1 836 723 руб.
нежилое помещение	59:01:4418023:133	г Пермь, ул Луначарского, д. 62б	78.6 кв.м.	646 284 руб.
трехкомнатная квартира	59:01:4418023:23	г Пермь, ул Луначарского, д. 62б, 1	74.2 кв.м.	3 310 225 руб.
встроенные помещения	59:01:4418023:155	г Пермь, ул Луначарского, д. 62б	439.2 кв.м.	1 255 523 руб.
однокомнатная квартира	59:01:4418023:28	г Пермь, ул Луначарского, д. 62б, 14	37 кв.м.	1 802 619 руб.
квартира 	59:01:4418023:64	г Пермь, ул Луначарского, д. 62б, 56	37.2 кв.м.	1 808 987 руб.
квартира 	59:01:4418023:55	г Пермь, ул Луначарского, д. 62б, 48	73.4 кв.м.	3 569 346 руб.
двухкомнатная  квартира	59:01:4418023:29	г Пермь, ул Луначарского, д. 62б, 15	56.6 кв.м.	2 757 520 руб.
однокомнатная квартира	59:01:4418023:31	г Пермь, ул Луначарского, д. 62б, 20	37.2 кв.м.	1 809 151 руб.
двухкомнатная  квартира	59:01:4418023:26	г Пермь, ул Луначарского, д. 62б, 12	55.2 кв.м.	2 689 313 руб.
трехкомнатная  квартира	59:01:4418023:52	г Пермь, ул Луначарского, д. 62б, 43	76.8 кв.м.	3 717 966 руб.
трехкомнатная  квартира	59:01:4418023:38	г Пермь, ул Луначарского, д. 62б, 27	76.6 кв.м.	3 731 908 руб.
квартира 	59:01:4418023:63	г Пермь, ул Луначарского, д. 62б, 55	56.2 кв.м.	2 732 932 руб.
трехкомнатная  квартира	59:01:4418023:70	г Пермь, ул Луначарского, д. 62б, 7	75.9 кв.м.	3 690 395 руб.
встроенные помещения	59:01:4418023:178	г Пермь, ул Луначарского, д. 62б	73.3 кв.м.	602 705 руб.
встроенное помещение	59:01:4418023:151	г Пермь, ул Луначарского, д. 62б	64.1 кв.м.	183 240 руб.
квартира 	59:01:4418023:45	г Пермь, ул Луначарского, д. 62б, 37	75.9 кв.м.	3 690 918 руб.
нежилое помещение	59:01:4418023:191	г Пермь, ул Луначарского, д. 62б	43.7 кв.м.	359 321 руб.
сеть канализации	59:01:4410137:152	г Пермь, ул Луначарского, д. 62Б	0 кв.м.	1 698 руб.
квартира	59:01:4418023:177	г Пермь, ул Луначарского, д. 62б, 16	56.1 кв.м.	2 540 278 руб.
участок	59:01:4418023:12	г Пермь, ул Луначарского, д. 62б	4427.3 кв.м.	42 159 983 руб.
нежилое помещение	59:01:4418023:157	г Пермь, ул Луначарского, д. 62б	91.6 кв.м.	753 176 руб.
нежилые помещения	59:01:4418023:189	г Пермь, ул Луначарского, д. 62б	18 кв.м.	148 004 руб.
	59:01:4418023:169	г Пермь, ул Луначарского, д. 62б	180.1 кв.м.	1 480 861 руб.
сеть холодного водоснабжения	59:01:4410137:153	г Пермь, ул Луначарского, д. 62Б	0 кв.м.	1 698 руб.
квартира 	59:01:4418023:56	г Пермь, ул Луначарского, д. 62б, 49	54.8 кв.м.	2 664 852 руб.
встроенные помещения	59:01:4418023:192	г Пермь, ул Луначарского, д. 62б	64.1 кв.м.	527 058 руб.
встроенные помещения	59:01:4418023:175	г Пермь, ул Луначарского, д. 62б	34.5 кв.м.	283 674 руб.
двухкомнатная  квартира	59:01:4418023:33	г Пермь, ул Луначарского, д. 62б, 22	57.8 кв.м.	2 815 983 руб.
двухкомнатная  квартира	59:01:4418023:36	г Пермь, ул Луначарского, д. 62б, 25	57.8 кв.м.	2 815 983 руб.
двухкомнатная квартира	59:01:4418023:68	г Пермь, ул Луначарского, д. 62б, 6	57 кв.м.	2 796 063 руб.
квартира 	59:01:4418023:71	г Пермь, ул Луначарского, д. 62б, 8	36.4 кв.м.	1 770 084 руб.
нежилое помещение	59:01:4418023:181	г Пермь, ул Луначарского, д. 62б	162.2 кв.м.	1 333 680 руб.
квартира 	59:01:4418023:54	г Пермь, ул Луначарского, д. 62б, 45	57.5 кв.м.	2 796 150 руб.
квартира	59:01:4418023:152	г Пермь, ул Луначарского, д. 62б, 20	37.2 кв.м.	132 210 руб.
однокомнатная квартира	59:01:4418023:34	г Пермь, ул Луначарского, д. 62б, 23	37.6 кв.м.	1 831 851 руб.
трехкомнатная квартира	59:01:4418023:32	г Пермь, ул Луначарского, д. 62б, 21	78.6 кв.м.	3 812 925 руб.
нежилое помещение	59:01:4418023:194	г Пермь, ул Луначарского, д. 62б	254.8 кв.м.	2 095 078 руб.
однокомнатная квартира	59:01:4418023:25	г Пермь, ул Луначарского, д. 62б, 11	36.8 кв.м.	1 792 875 руб.
квартира 	59:01:4418023:42	г Пермь, ул Луначарского, д. 62б, 34	76.3 кв.м.	3 710 369 руб.
нежилое помещение	59:01:4418023:176	г Пермь, ул Луначарского, д. 62б	131 кв.м.	1 077 140 руб.
квартира 	59:01:4418023:44	г Пермь, ул Луначарского, д. 62б, 36	56.1 кв.м.	2 728 070 руб.
трехкомнатная  квартира	59:01:4418023:24	г Пермь, ул Луначарского, д. 62б, 10	75.8 кв.м.	3 692 933 руб.
	59:01:4418023:170	г Пермь, ул Луначарского, д. 62б	5.3 кв.м.	43 579 руб.
нежилое помещение	59:01:4418023:182	г Пермь, ул Луначарского, д. 62б	91.6 кв.м.	753 176 руб.
трехкомнатная  квартира	59:01:4418023:27	г Пермь, ул Луначарского, д. 62б, 13	75.2 кв.м.	3 641 280 руб.
квартира	59:01:4418023:185	г Пермь, ул Луначарского, д. 62б, 60	75.8 кв.м.	3 432 318 руб.
однокомнатная квартира	59:01:4418023:40	г Пермь, ул Луначарского, д. 62б, 29	37.7 кв.м.	1 836 723 руб.
квартира 	59:01:4418023:49	г Пермь, ул Луначарского, д. 62б, 40	76.7 кв.м.	3 729 821 руб.
